state,rain_pct,rain_dol,rain_color,totbal_pct,2023,totbal_color,totbal_rain_pct_dif
Illinois,3.7801024513748507,1926.0,#D5AB53,4.133383054307079,2106.0,#3477A5,0.3532806029322284
Mississippi,9.202522196280235,579.4,#D5AB53,9.202522196280222,579.3999999999991,#3477A5,-1.2434497875801753e-14
South Dakota,9.66056294734993,220.0,#D5AB53,9.66056294734993,220.0,#3477A5,0.0
Rhode Island,5.4467916725933305,271.045069,#D5AB53,10.478117949115587,521.4156100000002,#3477A5,5.031326276522257
Montana,2.3455980281074207,118.0,#D5AB53,12.296499493112298,618.6000000000004,#3477A5,9.950901465004877
Washington,2.0704025959565433,650.8,#D5AB53,12.912975010736968,4059.0000000000045,#3477A5,10.842572414780424
Colorado,11.136885763634638,1992.4,#D5AB53,13.753416694149301,2460.5000000000036,#3477A5,2.6165309305146636
Connecticut,15.317655574950406,3343.4,#D5AB53,15.317655574950406,3343.4,#3477A5,0.0
New Hampshire,15.691242815647982,253.9,#D5AB53,15.691242815647982,253.9,#3477A5,0.0
Virginia,11.975850287935337,3801.3983500970107,#D5AB53,16.5426414996346,5250.998350097013,#3477A5,4.566791211699261
New Jersey,2.9708565880268902,1603.3,#D5AB53,17.65188742875354,9526.299999999996,#3477A5,14.681030840726649
Maryland,10.28440214880056,2915.7,#D5AB53,18.45174898679752,5231.2000000000035,#3477A5,8.16734683799696
Indiana,11.415156665271397,2263.5,#D5AB53,20.53870865252232,4072.5999999999985,#3477A5,9.123551987250924
Louisiana,6.312432384808677,722.207346,#D5AB53,20.77847132832695,2377.2713459999986,#3477A5,14.466038943518274
Maine,20.39939730586727,907.1,#D5AB53,20.89414622079297,929.1000000000009,#3477A5,0.4947489149256974
California,19.885402764795757,47740.0,#D5AB53,21.666674997375825,52016.4,#3477A5,1.7812722325800685
Nevada,14.231147259005988,904.15250724,#D5AB53,23.798456424903698,1511.9957409899998,#3477A5,9.56730916589771
Florida,5.835935176925363,3140.2,#D5AB53,25.851917930419265,13910.399999999998,#3477A5,20.0159827534939
Massachusetts,16.935594569055553,8513.1,#D5AB53,26.657979808027033,13400.299999999988,#3477A5,9.72238523897148
Michigan,10.768888483216575,1887.7,#D5AB53,27.327544896515537,4790.300000000002,#3477A5,16.558656413298962
Arizona,9.200678189003282,1427.2,#D5AB53,28.114544317588408,4361.099999999996,#3477A5,18.913866128585127
Idaho,23.6396861227561,1099.6,#D5AB53,28.16575298290873,1310.1299999999997,#3477A5,4.526066860152632
New Mexico,28.277908910733313,2839.3,#D5AB53,28.261973766769238,2837.699999999999,#3477A5,-0.015935143964075138
Pennsylvania,11.963993453355155,5117.0,#D5AB53,30.336684592003742,12975.0,#3477A5,18.372691138648587
Iowa,10.911617362050682,895.2,#D5AB53,30.446971636133135,2497.8999999999987,#3477A5,19.53535427408245
North Carolina,17.023625207867426,4750.0,#D5AB53,31.39479041229426,8759.899999999994,#3477A5,14.371165204426834
Kansas,16.062596725143667,1484.2,#D5AB53,32.09489074793562,2965.5999999999995,#3477A5,16.032294022791955
Vermont,14.10088469622171,288.49,#D5AB53,32.439024390243894,663.6699999999998,#3477A5,18.338139694022182
Hawaii,9.141005077725643,972.8329,#D5AB53,32.448865686035575,3453.37562320999,#3477A5,23.30786060830993
Ohio,11.91907771896466,3479.0,#D5AB53,32.496359867756155,9485.200000000004,#3477A5,20.577282148791497
Arkansas,22.626695217701638,1363.1,#D5AB53,32.55481964709592,1961.1999999999994,#3477A5,9.92812442939428
Alaska,36.47856649609575,2060.2,#D5AB53,32.61858809780973,1842.1999999999998,#3477A5,-3.8599783982860245
Tennessee,8.583486326029423,1800.0,#EED17E,32.6978374383062,6856.9000000000015,#74AAC7,24.11435111227678
Utah,9.816594192243658,1186.57009345,#D5AB53,33.04915670054414,3994.7806934499986,#3477A5,23.232562508300482
South Carolina,15.165150353974916,1998.6,#D5AB53,36.29437965232304,4783.200000000001,#3477A5,21.129229298348122
Kentucky,24.94992688285316,3600.0,#D5AB53,37.51914560361495,5413.5999999999985,#3477A5,12.569218720761793
Georgia,16.90572450492691,5240.228297,#D5AB53,39.633172808915276,12285.00284579,#3477A5,22.727448303988368
New York,7.019676365570159,6468.0,#D5AB53,42.243952203687826,38924.0,#3477A5,35.22427583811767
Wisconsin,8.766926569784493,1733.8,#D5AB53,44.66205667303784,8832.6363,#3477A5,35.895130103253344
Missouri,6.823373766431555,887.1,#D5AB53,46.19064833973033,6005.200000000001,#3477A5,39.36727457329877
Oregon,14.434385522190956,2051.0,#D5AB53,47.00243668209793,6678.635365999997,#3477A5,32.56805115990697
Texas,18.495054924621858,13716.539,#D5AB53,47.841105196644605,35480.53184525999,#3477A5,29.346050272022747
Oklahoma,18.748461314652758,1675.4,#D5AB53,51.13582954723482,4569.5999999999985,#3477A5,32.38736823258206
Delaware,5.535726782839946,316.4,#D5AB53,54.74840786619075,3129.199999999999,#3477A5,49.21268108335081
Nebraska,32.924283512495855,1687.6,#D5AB53,57.78918001443707,2962.100000000001,#3477A5,24.864896501941217
Minnesota,13.231432759114695,3568.277,#D5AB53,59.524414381198746,16052.652999999995,#3477A5,46.29298162208405
Alabama,13.96773966330915,1586.4,#D5AB53,61.36067479044867,6969.0999999999985,#3477A5,47.39293512713952
West Virginia,21.64825320991341,1015.0,#D5AB53,63.05543232521439,2956.4170000000013,#3477A5,41.40717911530098
North Dakota,26.744237687080876,602.2,#D5AB53,83.2393302837856,1874.3000000000004,#3477A5,56.49509259670473
Wyoming,84.0,1491.0,#D5AB53,84.0,1491.0,#3477A5,0.0
